Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
Philippines,Mobile Phones,Starmobile (Star Telecom Alliance Resources Inc),Star Telecom Alliance Resources Inc,Retail Volume,000 units,697.3,763.2,475.7,286.3,159.3,109.7
India,Mobile Phones,Spice (Spice Group),Spice Group,Retail Volume,000 units,"2,173.1","2,410.5","2,217.2","1,512.8",842.3,293.5
India,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,-,-,-,-,-,-
Indonesia,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,72.4,62.3,36.1,-,-,-
Vietnam,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,175.1,209.1,169.4,43.8,-,-
Thailand,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,419.5,372.2,301.4,78.0,31.1,25.8
Philippines,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,129.4,104.8,85.0,22.0,9.4,6.4
Singapore,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,72.9,41.0,25.5,17.0,13.2,10.5
China,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,"1,274.0","1,147.0",195.0,101.0,39.0,32.0
Malaysia,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,87.1,76.3,40.0,7.5,2.0,1.8
USA,Mobile Phones,Sanyo (Panasonic Corp),Panasonic Corp,Retail Volume,000 units,-,-,-,-,-,-
Vietnam,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"5,660.7","6,366.9","5,741.8","5,522.5","5,309.4","5,185.5"
Singapore,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,820.5,845.5,843.2,888.3,830.5,883.4
Philippines,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"2,810.9","2,768.4","2,591.0","2,535.1","2,362.3","2,470.5"
