Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
Thailand,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,-,-,-,-,-,-
Philippines,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,33.6,33.9,1.9,-,-,-
Malaysia,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,90.1,63.1,-,-,-,-
USA,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,436.3,235.9,"1,786.8",94.1,70.7,28.4
Vietnam,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,42.2,36.0,17.2,12.0,-,-
Singapore,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,-,-,-,-,-,-
China,Mobile Phones,Bird (Ningbo Bird Co Ltd),Ningbo Bird Co Ltd,Retail Volume,000 units,-,-,-,-,-,-
Philippines,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,51.3,42.9,41.6,40.2,35.9,28.9
China,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,493.0,271.0,100.0,126.0,95.0,101.0
Thailand,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,827.9,799.9,119.1,30.1,23.1,18.5
India,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,"1,679.9","1,859.6","2,063.7","1,245.0",620.4,315.9
USA,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,103.0,256.5,351.0,257.0,237.4,242.0
Malaysia,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,614.7,331.1,108.3,50.6,30.0,12.0
Indonesia,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,"2,872.8","1,753.3","1,002.7",722.1,366.8,183.4
Indonesia,Mobile Phones,Andromax (Smartfren Telecom Tbk PT),Smartfren Telecom Tbk PT,Retail Volume,000 units,153.7,128.7,109.0,97.2,78.3,62.6
China,Mobile Phones,Amio (Amio Electronic Co Ltd),Amio Electronic Co Ltd,Retail Volume,000 units,-,-,-,-,-,-
Indonesia,Mobile Phones,Advan (Intech Surya Abadi PT),Intech Surya Abadi PT,Retail Volume,000 units,"1,860.5","2,337.7","1,245.6",521.6,185.8,65.1
